id,name,category,brand,base_flavor,description
1,Oregon Strawberry,scoop,Tillamook,strawberry,sweet strawberry ice cream with ripe Oregon strawberry pieces
2, Old-Fashioned Vanilla,scoop,Tillamook,vanilla,rich vanilla ice cream made with Tillamook's special blend of the very best vanillas
3,Tillamook Mudslide,scoop,Tillamook,chocolate,smooth chocolate ice cream with a ribbon of rich fudge and chocolatey chips
4,Gimme Smore,scoop,Ben & Jerry's,marshmallow,"Toasted Marshmallow Ice Cream with Chocolate Cookie Swirls, Graham Cracker Swirls & Fudge"
5,Netflix & Chill'd,scoop,Ben & Jerry's,peanut butter,Peanut Butter Ice Cream with Sweet & Salty Pretzel Swirls & Fudge Brownies
6,Toffee Brittle Ice Cream Bars,stick,Lucerne,vanilla,vanilla ice cream on a stick dipped in a toffee-chocolate coating
7,Creamy Orange Bars,stick,Lucerne,vanilla,vanilla ice cream on a stick covered with a refreshing orange cream juice coating
8,Mint Chocolate Chip Ice Cream Sandwiches,shape,Lucerne,mint,mint ice cream with chocolate chips sandwiched between two chocolate cookies
9,Butter Pecan,scoop,Dreyers,vanilla,A sweet treat of rich buttery vanilla ice cream and perfectly crunchy roasted pecans
10,Salted Caramel,scoop,Bi-Rite,caramel,"sweet, creamy, bitter, and salty, perfectly hitting every note"
11,Honey Lavender,scoop,Bi-Rite,lavender,Steeped with organic dried lavender and paired with outstanding hyper-local honey from Bay Area Bee Company
12,Ricanelas,scoop,Bi-Rite,cinnamon,"A staff and guest favorite, this cinnamon ice cream with snickerdoodle cookies is a perfect pairing with all our ice cream flavors"
13,Melon,stick,Melona,melon,stick of melon goodness
14,Coconut,stick,Melona,coconut,stick of coconut goodness
15,Banana,stick,Melona,banana,stick of banana goodness 
16,Mangohelada,stick,Michoacana,mango,mango and chamoy popsicle
17,Fresas con Crema,stick,Michoacana,strawberry,creamy strawberries popsicle
18,Choco-Fresa,stick,Michoacana,strawberry,cream strawberries popsicle coated with chocolate
19,Coco,stick,Michoacana,coconut,creamy coconut popsicle
20,Galletas con Crema,stick,Michoacana,vanilla,cookies and cream popsicle
21,Chicle,stick,Michoacana,bubblegum,blue popsicle studded with bubble gum
22,Strawberry Shortcake Bar,stick,Blue Ribbon,strawberry,the best strawberry bar ever
23,Vanilla Sundae Cones,shape,Blue Ribbon,vanilla,vanilla ice cream in a cone with a peanut and chocolate topping
24,Double Chocolate Bar,stick,Blue Ribbon,chocolate,double chocolatey goodness on a stick
25,Vanilla Ice Cream Sandwiches,shape,Blue Ribbon,vanilla,vanilla ice cream sandwiched between two chocolate cookies
26,Cool Tubes Orange Sherbet,stick,Blue Ribbon,orange,creamy orange sorbet in a push tubes 
27,Cookies 'n Cream Sundae Cone,shape,Blue Ribbon,vanilla,cookies n cream ice cream in a cone covered in a cookie coating
